id,Wafer_ID,Material,Shape,Size_Width,Size_Height,Color,Position_X,Position_Y,Polygon
1,test_plate6_shape1,Graphene,8-Polygon,7.0,6.0,GREEN,285.1,349.8,"[[280, 348], [282, 346], [288, 350], [286, 353]]"
2,test_plate6_shape2,Graphene,Square,3.0,3.0,GREEN,273.0,241.0,"[[272, 240], [274, 240], [274, 242], [272, 242]]"
3,test_plate6_shape3,Graphene,Pentagon,47.0,62.0,GREEN,251.52815934065933,210.1863553113553,"[[217, 190], [242, 174], [281, 234], [255, 250]]"
4,test_plate8_shape1,Graphene,Rectangle,3.0,4.0,GREEN,543.0,282.5,"[[542, 281], [544, 281], [544, 284], [542, 284]]"
5,test_plate8_shape2,Graphene,Rectangle,3.0,18.0,GREEN,543.0,252.5,"[[542, 244], [544, 244], [544, 261], [542, 261]]"
6,test_plate8_shape3,Graphene,Rectangle,3.0,4.0,GREEN,543.0,233.5,"[[542, 232], [544, 232], [544, 235], [542, 235]]"
7,test_plate8_shape4,Graphene,Square,3.0,3.0,GREEN,566.0,72.0,"[[565, 71], [567, 71], [567, 73], [565, 73]]"
8,test_plate5_shape1,Graphene,Rectangle,2.0,3.0,GREEN,403.4444444444444,247.77777777777774,"[[403, 247], [404, 247], [404, 249], [403, 249]]"
9,test_plate2_shape1,Graphene,Pentagon,6.0,10.0,GREEN,201.93627450980392,431.75,"[[199, 427], [204, 427], [204, 436], [199, 436]]"
10,test_plate2_shape2,Graphene,Rectangle,3.0,5.0,GREEN,204.0,420.0,"[[203, 418], [205, 418], [205, 422], [203, 422]]"
11,test_plate2_shape3,Graphene,Pentagon,5.0,7.0,GREEN,186.225,414.15,"[[184, 411], [188, 411], [188, 417], [184, 417]]"
12,test_plate2_shape4,Graphene,Rectangle,4.0,3.0,GREEN,174.5,412.0,"[[173, 411], [176, 411], [176, 413], [173, 413]]"
13,test_plate2_shape5,Graphene,Square,3.0,3.0,GREEN,206.0,404.0,"[[205, 403], [207, 403], [207, 405], [205, 405]]"
14,test_plate2_shape6,Graphene,Square,3.0,3.0,GREEN,462.0,223.0,"[[461, 222], [463, 222], [463, 224], [461, 224]]"
15,test_plate2_shape7,Graphene,7-Polygon,8.0,6.0,GREEN,445.2046783625731,215.25146198830407,"[[442, 213], [449, 213], [449, 218], [442, 218]]"
16,test_plate2_shape9,Graphene,Rectangle,5.0,4.0,GREEN,527.8888888888889,201.64444444444445,"[[525, 201], [526, 199], [530, 201], [529, 203]]"
17,test_plate2_shape11,Graphene,Pentagon,4.0,6.0,GREEN,465.54022988505744,198.42528735632183,"[[464, 196], [467, 196], [467, 201], [464, 201]]"
18,test_plate2_shape14,Graphene,Pentagon,14.0,20.0,GREEN,489.9551282051282,197.89743589743588,"[[482, 204], [493, 184], [499, 188], [487, 207]]"
19,test_plate2_shape15,Graphene,7-Polygon,3.0,5.0,GREEN,527.2,180.8,"[[526, 179], [528, 179], [528, 183], [526, 183]]"
20,test_plate2_shape16,Graphene,Pentagon,4.0,2.0,GREEN,501.2222222222222,178.44444444444443,"[[499, 178], [502, 178], [502, 179], [499, 179]]"
21,test_plate2_shape18,Graphene,Square,2.0,2.0,GREEN,513.5,169.5,"[[513, 169], [514, 169], [514, 170], [513, 170]]"
22,test_plate2_shape19,Graphene,Pentagon,2.0,4.0,GREEN,530.5,161.0,"[[529, 162], [530, 159], [531, 160], [530, 163]]"
23,test_plate2_shape20,Graphene,6-Polygon,5.0,3.0,GREEN,194.8095238095238,154.9047619047619,"[[191, 153], [192, 152], [196, 155], [195, 156]]"
24,test_plate2_shape23,Graphene,Pentagon,4.0,4.0,GREEN,508.56862745098033,123.43137254901958,"[[507, 122], [510, 122], [510, 125], [507, 125]]"
25,test_plate2_shape24,Graphene,Triangle,9.0,29.0,GREEN,533.817543859649,130.96491228070175,"[[526, 144], [532, 116], [539, 118], [532, 146]]"
26,test_plate2_shape25,Graphene,Pentagon,4.0,4.0,GREEN,289.56862745098033,115.56862745098039,"[[288, 114], [291, 114], [291, 117], [288, 117]]"
27,test_plate2_shape26,Graphene,Pentagon,4.0,5.0,GREEN,102.55072463768116,109.07246376811594,"[[101, 107], [104, 107], [104, 111], [101, 111]]"
28,test_plate2_shape27,Graphene,6-Polygon,11.0,14.0,GREEN,143.99382716049382,113.25308641975307,"[[137, 106], [142, 103], [148, 117], [143, 120]]"
29,test_plate2_shape28,Graphene,Rectangle,3.0,2.0,GREEN,558.0,103.5,"[[557, 103], [559, 103], [559, 104], [557, 104]]"
30,test_plate2_shape30,Graphene,Square,3.0,3.0,GREEN,101.0,94.0,"[[100, 93], [102, 93], [102, 95], [100, 95]]"
31,test_plate7_shape1,Graphene,Square,3.0,3.0,GREEN,286.0,408.0,"[[285, 407], [287, 407], [287, 409], [285, 409]]"
32,test_plate7_shape2,Graphene,6-Polygon,11.0,16.0,GREEN,251.61818181818182,378.56161616161614,"[[245, 372], [254, 371], [256, 386], [246, 387]]"
33,test_plate7_shape3,Graphene,Pentagon,5.0,6.0,GREEN,226.94949494949495,342.7474747474747,"[[225, 340], [229, 340], [229, 345], [225, 345]]"
